parent_name,category_name,name,is_opensource,service_provider,website,cost_structure,fee_amount,free_credit,support_structure,sgb_domain,ngo_ref,additional_comments
,Device Management,Esper,N,Esper.io,esper.io,Subscription-based https://www.esper.io/pricing,"Custom pricing, Starts with $2/user/month",Free trial,"Online support, email, and chat",,,Primarily for device management in enterprise environments
,Scheduling,Calendly,No,Calendly LLC,https://calendly.com,Freemium https://calendly.com/pricing/users,Starts at $12 per seat per month,Free for individuals with basic scheduling,"Email, Online Support",,,Simplified scheduling solution
Human Resources,Attendance & Payroll Management,Keka,No,Keka,https://www.keka.com/,"- Foundation : 9999/month (For companies that are just getting started with automation)
- Strength: 12999/month (Scaling with advanced automation & employee engagement)
- Growth: 15999/month (With in-built performance management capabilities and business reviews)","Varies;

Our guided configuration of Payroll, import of employee information, and past month salary information, costs a nominal setup fee","Sign Up for Free Trial

Free Tools: https://www.keka.com/free-tools",Onboarding and Implementation Support + Phone/Email/Live Chat Support,All SDGs,,"Keka is the only attendance management system in India that integrates every aspect of time tracking right from capturing time anywhere, scheduling shifts, and tracking over-time which is fully integrated with payroll.
"
,,Kelsa,No,Kelsa,https://kelsa.co.in/hrms/,Subscription-based,Varies,N/A,Customer service available,,,Focused on payroll and financial management for nonprofits
,,Paybooks,No,Paybooks,https://www.paybooks.in,Not available on website but can request a call back from sales team: https://paybooks.in/contact-sales-form/,,Free demo available,,,,"Paybooks’ experts manage end to end payroll, compliance, HR, and employee life cycle for your business and you and your employees will literally love the experience.

Monitor real-time attendance with awesome dashboards
"
,,GreyTHR,No,GreyTHR,https://www.greythr.com/,"greytHR offers plans for Small, Mid and Large businesses. https://www.greythr.com/pricing/",,"Free trial available; When you sign up for free trial, you get exclusive access to a greytHR account with full features. No billing for the first 7 days. You will receive email before your trial expires. To continue greytHR service, you have to select a plan, share some basic data, and agree to pay the subscription charges.

You can request a demo also.",,,,"Get an online attendance management system for your employees. Gather real-time attendance swipes from multiple devices using multiple mechanisms, across multiple locations.

Payroll with greytHR is very thorough and complete. No stone has been left unturned in creating the most exhaustive payroll software available in the market today. No detail ignored. No situation overlooked.

"
,,Zoho People,no,Zoho,https://www.zoho.com/people,per employee costing yearly/monthly,Varies,Free sign up; Demo can be requested; 30 day free trial,"Get 24/5 email support for all plans at no additional cost.
",,,"Spend less time tracking time and days off. Zoho People's time and attendance system lets you focus on employee productivity while accurately tracking work hours and providing error-free reporting.

Zoho People and Payroll solutions work together to power up your people and payroll processes. With comprehensive and simple process design, experience stress-free payroll."
,,Beehive,no,BeeHive Productivity Catalysts,https://www.beehivesoftware.in/,"Pricing is dependent upon the mode of deployment, the modules you want to implement and finally on the basis of user licenses required. It starts with as low as rupee 1 per employee per day and goes till Rs. 150 Per employee per month.",Varies,N/a,"Once the problem is registered and ticket is generated, based on the type of the issue, there is turn around time (TAT) defined and the solution will be provided for the registered issue by Beehive’s technical support helpdesk team.

Beehive offers pre sales and post sales support with implementation and handling customers support queries. There are dedicated teams available for the customer support. We have customer friendly SLA’s defined to make sure the queries are addressed timely and effective manner",,,"Beehive HRMS presents an advanced Time and Attendance Management feature that revolutionizes the way organizations track and manage employee work hours. Our comprehensive solution empowers businesses to optimize workforce efficiency, ensure compliance with labor regulations, and foster a punctual work culture. 

Beehive HRMS presents a comprehensive Payroll Management feature, meticulously designed to streamline payroll processing and ensure accurate employee compensation. Our robust solution empowers organizations to efficiently manage payroll calculations, employee benefits, and statutory compliance with ease. "
,Recruitment,ERP Next for HR,Yes,ERPNext,https://erpnext.com/,Free or paid for hosted version,Varies,N/A,"Community support, paid support for hosted versions",Decent Work and Economic Growth,N/A,"
Complexity in implementation may require training"
,,Zoho People,No,Zoho,https://www.zoho.com/people/,per employee costing yearly/monthly,yearly 576 | monthly 60,upto 10% NGO discount,available from Zoho and implementation through EdZola,SDG 9,FMCH India,"Onboarding, LMS, Leave tracker, Performance appraisal, etc."
,,BeeHive,No,BeeHive Productivity Catalysts, https://www.beehivesoftware.in,"Pricing is dependent upon the mode of deployment, the modules you want to implement and finally on the basis of user licenses required. It starts with as low as rupee 1 per employee per day and goes till Rs. 150 Per employee per month.
",Varies,N/A,"Once the problem is registered and ticket is generated, based on the type of the issue, there is turn around time (TAT) defined and the solution will be provided for the registered issue by Beehive’s technical support helpdesk team.

Beehive offers pre sales and post sales support with implementation and handling customers support queries. There are dedicated teams available for the customer support. We have customer friendly SLA’s defined to make sure the queries are addressed timely and effective manner
",,N/A,"A HR software, which is also known as a human resource information system or human resource management system (HRMS), is basically an intersection of human resources and information technology through HR software. This allows HR activities and processes to occur electronically.

e-recruitment module track candidates across various stages, streamline your interview process and generate offer letters effortlessly.
"
,,People Hub,No,People Hub,https://peoplehub.co.in,₹4999/Month,Varies,Free plan up to 5 user,We provide end to end implementation Support.,17,,"Recruitment & Onboarding:
Post job listings, manage applications, schedule interviews, and streamline the onboarding process—all within one intuitive platform."
,,Zoho One,No,Zoho,https://www.zoho.com/one,"Flexible-User Pricing

We offer Flexible-User Pricing at ₹4,000 per user per month, or ₹3,500 per user per month with an annual subscription. This means you can buy any number of user licenses; you do not have to purchase licenses for ALL employees.

All Employee Pricing

We offer the All Employee Pricing at a special price of ₹2,500 per employee per month, or ₹1,250 per employee per month with an annual subscription, provided you purchase licenses for ALL employees in the company.",,"No, we have already priced Zoho One as competitively as possible.
","Plans Vary

https://help.zoho.com/portal/en/home",,,"Find new talent
Growing businesses depend on hiring new people. Zoho One gives you tools to find the right people for the right jobs. (Fill Openings, Resume Parsing, Interviews, Create Offer Letters)"
,,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 2500 per month,NA,"For Non-Profits

Leverage Better Together VMS to organize your volunteers' efforts. We provide verified volunteers to our Nonprofit Partners around the world who are committed to drive social change. Start free.",All SDGs,"SBI Youth for India Fellowship, Make a Difference, U&I, Gandhi Fellowship, Bhumi Fellowship","""Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."""
,Training,GreytHR Academy,No,GreytHR,"https://www.greythr.com/

https://www.greythr.com/academy/",Cost details of the training programs not published on website.,,,N/A,,,"Only academy offering courses for HR & Payroll in India. Certified triaining courses for working professionals and students. Available in multiple Indian languages
"
,Comprehensive HR solutions,FactoHR,No,factoHR,https://factohr.com,"You just need to pay subscription charges quarterly or yearly as well as the training charges for your staff to use the software effectively.
",Varies,Free trial can be requested,,,,"Our mission is to design an excellent workforce management solution that will automate all the HR processes and help grow the business
"
,Employee Welfare,Keka HR,N,Keka HR,https://www.keka.com/,"- Foundation : 9999/month (For companies that are just getting started with automation)
- Strength: 12999/month (Scaling with advanced automation & employee engagement)
- Growth: 15999/month (With in-built performance management capabilities and business reviews)","Varies;

Our guided configuration of Payroll, import of employee information, and past month salary information, costs a nominal setup fee","Sign Up for Free Trial

Free Tools: https://www.keka.com/free-tools",Onboarding and Implementation Support + Phone/Email/Live Chat Support,All SDGs,,"Keka HR software is designed to delight your employees. Our employee centric user experience coupled with hooks and data insights always piques your employee's curiosity and adopt the platform.
"
Finance and Accounts,Payroll Management,Zoho Payroll,No,Zoho,https://www.zoho.com/in/payroll,Tiered pricing https://www.zoho.com/in/payroll/pricing/,Starts at 40 rupees/user/month,,"Email, Phone, Community Forum, Hel docs, FAQs, Webinars",,,
,,Zimyo,No,Zimyo,https://www.zimyo.com,Tiered pricing https://www.zimyo.com/pricing/,Starts at 80 rupees/user/month,,"Zimyo support portal, email, phone",,,Easy to use HR software
,,SynergyWorks - Office AutomationSoftware,No,SynergyConnect Data Innovations Private Limited,www.synergyconnect.in,SaaS-based subscriptions,2 Lakhs Onwards,No,24 x 7 Support,ALL,Sevatarang,"Includes Asset Management, Purchase Management and Voucher Management for NGO"
,,Realbooks,No,Adansa Solutions Private Limited,https://www.realbooks.in/,"Start for Free, Pay as You Grow",Starts at 500 rupees/user/month,14 day free trial,"Free demo, chatbot, phone support, email",,,
Communication,Outreach and Marketing,Telegram,Y,Telegram FZ LLC,telegram.org,Free,Free,Free,Online FAQs,-,-,End-to-end encryption
,,WhatsApp,N,Meta Platforms,whatsapp.com,Free,Free,Free,Online FAQs,-,-,End-to-end encrypted messaging
,,"OpenCart
",Yes,OpenCart Community,https://www.opencart.com/,"Free
",NA,NA,"Community support and paid extensions
Decent Work and Economic Growth",,,Ideal for small to medium-sized online stores
,,Magento,No,Deltek,https://magento.com/,Free (open-source) or paid,Varies,N/A,Extensive community and paid support options,,,Suitable for large-scale e-commerce requirements
,,Big Query,N,Google,cloud.google.com/bigquery,Pay-as-you-go,Varies by query,Free usage limits,24/7 Support,Industry Innovation,-,Managed data warehouse
,Email Marketing,Mailchimp,N,Intuit,mailchimp.com,Freemium https://mailchimp.com/pricing/marketing/,Starts at 575/mo,15% discount to nonprofits,"Email, 24/7 Chat",-,-,Automations & analytics
,,SendGrid,No,Twilio SendGrid,sendgrid.com,Tiered (Free and Paid Plans) https://sendgrid.com/en-us/pricing,Starts at $19.95/month,Free for 100 mails a day,"Email, Knowledge Base, and 24/7 support​
",,,"Easy-to-use drag-and-drop email editor​
"
,,Substack,No,Substack Inc.,substack.com,Revenue share (10% fee),No upfront costs; 10% of subscriber payments​,"No specific free credits, but no hosting fees",Email and community support forums​,,,Supports multimedia content for newsletters​
,,Wix,N,Wix.com,wix.com,Freemium,Starts at $16/mo,Basic plan free,"Email, Forum",-,-,Drag-and-drop editor
,,Socioboard,Yes,Socioboard community,https://socioboard.org/,Free (limited plan) or paid,Varies,Limited free version,Community support,,NA,Customization options available with extensions
,,"Buffer
",No,Buffer,https://buffer.com/,Paid plans,"Starts at $5/mo
",N/A,"Email support, knowledge base",NA,NA,Suitable for nonprofits with customizable plans
,,Meta,No,Meta Platforms,meta.com,Ads-based,Costs vary by ad campaigns​,"No free credits, but free use for organic reach",Knowledge base and community forums​,,Used for digital outreach,Best for social media campaigns​
,,X (previously twitter),No,X Corp (Elon Musk),twitter.com,Ads-based,Costs depend on ad campaign settings,Free access for organic reach​,"Knowledge base, help center​",,Used widely for campaigns,Powerful for real-time communication​
,,Instagram,No,Meta Platforms,instagram.com,Free,Free,Free,Online Support,-,-,Visual storytelling tool
,,Canva,N,Canva Pvt Ltd,canva.com,Freemium https://www.canva.com/en_in/pricing/,Starts at 4000/year,Free for nonprofits https://www.canva.com/en_in/canva-for-nonprofits/,"Email, Help Center",-,"Fistula Foundation, Amnesty International, Rise Against Hunger, Opera America, Muscular Dystrophy WA",Easy-to-use design platform
,Community Engagement,Google Groups,No,Google,https://groups.google.com/,Free and included with Google Workspace subscriptions,Free (for personal use) or part of Workspace fee,N/A,Community forums and paid Workspace support,,Commonly used by NGOs for discussions and collaboration,Useful for team communication and archiving discussions.
,,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 5000 per month,"First month free, upto 10% off for nonprofits",,All SDGs,Teach for India,"Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."
,Placemaking,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 2500 per month,"First month free, upto 10% off for nonprofits",,All SDGs,"Periferia, Boskea","""Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."""
,Customer Communications,Discord,No,Discord Inc.,https://discord.com/,Free and paid plans (Nitro),Cost varies depending on your country and plan.,Free for basic use,"Community support, FAQ, paid support for Nitro",,Widely used for volunteer coordination,"Great for real-time communication; supports voice, video, and text."
,Ticketing System,"UVDesk
",Yes,Webkul,https://www.uvdesk.com/,Free for open-source; paid plans,Varies,NA,Community and paid support,,,Multichannel support and automation features
,,"DeskPro
",No,DeskPro,https://www.deskpro.com/,"Paid plans
",Starts at $30/user/mo,N/A,"Email, chat, and phone support",,,Comprehensive support for ticket management
,Video Editing,Olive Video Editor,Yes,Open-source community,https://olivevideoeditor.org/,"Free
",NA,NA,Community forums and resources,,,Suitable for both beginners and advanced users
,Website Management,Google Lighthouse,Yes,Google,https://developer.chrome.com/docs/lighthouse/overview,Free,Free,N/A,Documentation and GitHub Issues,,Utilized by NGOs for website performance improvement,Performance and accessibility analysis for websites.
,,Wix,N,Wix.com,wix.com,Freemium https://www.wix.com/plans,Starts at 200 rupees/mo,Basic plan free,"Email, Forum",-,-,Drag-and-drop editor
,,Squarespace,No,"Squarespace, Inc.",https://squarespace.com/,Paid plans only https://www.squarespace.com/pricing,Starting ~$16/month,N/A,Email and live chat support,,Often used by NGOs for professional websites,Easy-to-use website builder with templates.
,,Joomla,Yes,Joomla Community,https://www.joomla.org,Free,NA,NA,Community support and extensive documentation,,,Requires knowledge of PHP for customization
,Adobe Creative Suite,GIMP,Yes,GNU Project,https://www.gimp.org,Free,NA,NA,Extensive community forums and tutorials,,,Lacks some advanced features found in commercial tools
,,Inkscape,Yes,Open-source community,https://inkscape.org/,"
Free",NA,NA,Community-based support,,,Learning curve for beginners
,,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 2500 per month,"First month free, 10% off for nonprofits",,All SDGs,"Vrutti, ReachOne, iVolunteer","""Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."""
Data & AI,Data Collection,Avni,Yes,Samanvay Foundation,https://avniproject.org/,"12 hours of Avni low-code platform live training 8 hours of consulting support over the next 1 month One month of free hosting after training Pricing: ₹40,000/-   Avni Cloud Hosting (After first month)  Up to 20 users, 5k forms per month, 200GB storage: ₹7,000/- per month (paid upfront annually) Up to 100 users:, 10k forms per month, 1TB storage: ₹10,000/- per month (paid upfront annually) More than 100 users: Custom quote",,,,,,
,Data Analytics,Apache Superset,Yes,Apache Foundation,https://superset.apache.org/,NA,NA,,"Dedicated Team to host, customise ,train and  manage  different instances of superset",Supports all,,"Superset is fast, lightweight, intuitive, and loaded with options that make it easy for users of all skill sets to explore and visualize their data, from simple line charts to highly detailed geospatial charts."
,,Dalgo,Yes,Project Tech4Dev,https://dalgo.in/,"Base Plan - Data Platform Base SaaS cost for running ingestion, transformation and orchestration infrastructure and Dalgo support. If an external vendor is providing you with end to end onboarding and support then this price is reduced.​  2,04,000*/p.a.​, Optional - Superset Superset is the visualisation platform managed and supported by Dalgo within the platform. NGOs may choose to connect to their own visualisation tools.  48,000*/p.a.",,,,,"Goalkeep, SHRI, TAP, The Agency Fund",
,Cloud Computing,Google Cloud,N,Google,cloud.google.com,Pay-as-you-go https://cloud.google.com/pricing/?hl=en,Varies by service,$300 in credits,"Email, 24/7 Support",Various,-,Offers scalable cloud services
,,Microsoft Azure,No,Microsoft,https://azure.microsoft.com/,Pay-as-you-go and subscription https://azure.microsoft.com/en-in/pricing/#Pricing-by-product,Variable by service,Free $200 for 30 days,"Email, live chat, and ticket-based support","Industry, Innovation, Infrastructure",Used by large NGOs for scalable cloud solutions,Advanced cloud computing platform with many integrations.
,,Dropbox,N,Dropbox Inc.,dropbox.com,Freemium https://www.dropbox.com/plans?billing=monthly,Starts at $18/mo,2 GB free,"Email, Chat",-,-,Collaborative file sharing
,Data Warehousing for Structured Data,Big Query,N,Google,cloud.google.com/bigquery,Pay-as-you-go,Varies by query,Free usage limits,24/7 Support,Industry Innovation,-,Managed data warehouse
,,DataSpace,Yes,CivicDataLab,https://civicdatalab.in/,Freemium,NA,NA,Dedicated Product Team ,Supports all sectors ,,"A Dataspace can be a transformative initiative designed to create a shared data infrastructure for multiple use cases across sectors, enabling data sharing, re-use, and AI-driven innovation.  It provides open access to datasets that can spur innovation in fields like public finance,law and justice, climate, healthcare, urban development, and more, where individuals or organizations can consume or contribute data with ease. "
,,Zoho Creator,No,Zoho Corporation,https://www.zoho.com/creator/,Paid plans available https://www.zoho.com/creator/pricing.html?src=hdd,Starting at 480 rupees/user/month,15-day free trial,"Email, chat, and call support",,,No-code app builder for various custom requirements.
,Data Warehousing for Unstructured Data,Ecourts Data Scrapper,No,CivicDataLab,https://civicdatalab.in/,,,,"Data Engineer Team to source, clean and analyse data from official ecourts  ","SDG 16- Peace, Justice and strong institutions","Enfold, Agami ",
,,Google DataStudio,N,Google,https://lookerstudio.google.com/u/0/navigation/reporting,Free,N/A,N/A,Google community and enterprise support,,N/A,Part of the Google Workspace tools; integrates well with Google Analytics
,ETL,Zoho Analytics,N,Zoho,ZohoAnalytics,"Free 15 day trial on cloud, 30 day trial on premise",Varies,N/A,"Zoho support, documentation, forums",,N/A,Cloud-based analytics tool with strong integration features
,Data Quality Management,Tally,No,Tally Solutions Pvt. Ltd.,https://tallysolutions.com/,One-time purchase or subscription https://tallysolutions.com/buy-tally/,Starting at 750 rupees/month,Free trial available,Email and phone support,,,Popular accounting software in India.
,,Zoho Invoice,No,Zoho Corporation,https://www.zoho.com/in/invoice/,Free https://www.zoho.com/in/invoice/pricing/?src=invoice-newheader,Free for Indian businesses,Free for limited use,"Email, chat, and call support",,,Feature-rich invoicing solution for small and large teams.
,,Samajaa,No,Frappe Technologies,samajaa.org,Custom pricing,Varies,N/A,Limited support details,Social welfare,Limited usage,Tailored for nonprofit data tracking; integrates well with local systems.
,Other tools,Data Maturity Assessment,No,data.org,https://data.org/dma/,free,free,,,,,
Chatbot,,GupShup,No,GupShup Technology,https://gupshup.io/,Pay-per-use,Varies,Free credits on registration,Email and ticket-based support,,,Excellent for WhatsApp and SMS-based communication.
,,Lio,No,Lio Apps Pvt. Ltd.,https://lio.io/,Free and paid plans https://www.lio.io/pricing,Contact for pricing,Free for basic use,Email and chat support,,,Helps with data organization and reporting.
,,Glific,Yes,Project Tech4Dev,https://glific.org/,"Monthly subscription fee- INR 9500+taxes, one time set up cost: INR 15000 + taxes",,,"Support through email, Discord, in-person quarterly meet ups",,,
,,WATI,N,WATI,https://www.wati.io/,https://www.wati.io/pricing/,,,,,https://www.wati.io/education/,"-Integrated WhatsApp biz APIs
- Flexible pricing 
- Most comprehensive feature set, 
- Extremely reliable"
,,Zoko,N,Zoko,https://www.zoko.io/,https://www.zoko.io/pricing,,,,,https://www.zoko.io/case-study,"-Integrated WhatsApp biz APIs
- Hands on support
- Decent feature set"
,,WhatsApp,Yes,Consortium (https://www.jugalbandi.ai/mission),https://www.jugalbandi.ai/liveapplications,Free,,,Support through email,Domain agnostic,Agami.in,
AI (productivity & creativity tools),General/Multi-purpose,ChatGPT,N,OpenAI,chatgpt.com,Freemium,$20/mo (Plus),Limited free tier,"Community, Email, Documentation",,,Indian Languages Supported: Hindi| Bengali| Tamil| Telugu| Kannada| Malayalam| Marathi| Gujarati (Basic support)
,,Claude,N,Anthropic,claude.ai,Usage-based,$0.008/1K tokens,No,"Community, Email, Documentation",,,Indian Languages Supported: Hindi| Tamil| Bengali (Basic support)
,,Meta AI,N,Meta,gemini.google.com,,,,"Community, Email, Documentation",,,Indian Languages Supported: Hindi | Bengali | Tamil | Telugu | Malayalam
,,Gemini,N,Google,meta.ai,,,,"Community, Email, Documentation",,,Indian Languages Supported: Hindi | Bengali | Tamil | Telugu | Malayalam | Marathi | Gujarati | Kannada | Punjabi
,Text & Content,Copy.ai,N,Copy.ai,copy.ai,Tiered,$36+/mo,Free trial,Chat,,,Indian Languages Supported: Hindi (Limited)
,,Jasper,N,Jasper.ai,jasper.ai,Tiered,$49-500/mo,5-day trial,24/7 chat,,,Indian Languages Supported: Hindi (Basic support)
,Image Creation,DALL-E 3,N,OpenAI,openai.com,Credits,$0.040-0.080/image,Limited,Email,,,Text prompts in Hindi| Bengali| Tamil (Output in English)
,,Midjourney,N,Midjourney Inc.,midjourney.com,Subscription,$10-60/mo,No,Discord,,,Limited text prompt support
,,Canva,N,Canva,canva.com,Tiered,$12-30/mo,Free tier,"Email, Help Center",,,Indian Languages Supported: Hindi| Tamil| Telugu| Marathi| Bengali| Gujarati| Kannada| Malayali
,Presentations,Beautiful.ai,N,Beautiful.ai,beautiful.ai,Tiered,$12-40/user/mo,Free trial,"Email, Chat",,,No Indian language support
,,Gamma,N,Gamma,gamma.app,Freemium,$10-30/mo,Basic free tier,Email,,,No Indian language support
,Audio & Voice,ElevenLabs,N,ElevenLabs,elevenlabs.io,Tiered,$5-330/mo,10K chars/mo,"Discord, Email",,,Indian Languages Supported: Hindi (Beta)
,,Play.ht,N,Play.ht,play.ht,Subscription,$14.95-119/mo,Limited trial,Email,,,Indian Languages Supported: Hindi| Tamil| Telugu| Bengali| Marathi| Gujarati| Kannada
,Music,Soundraw,N,Soundraw,soundraw.io,Subscription,$19-99/mo,Free trial,Email,,,N/A
,,Amper,N,Shutterstock,ampermusic.com,Enterprise,Custom,Demo,Email,,,N/A
,Video & Animation,D-ID,N,D-ID,d-id.com,Tiered,$5.99-150/mo,Limited trial,"Email, Chat",,,Hindi voice support
,,Synthesia,N,Synthesia,synthesia.io,Custom,$30/video+,Demo,Email,,,Indian Languages Supported: Hindi| Tamil| Telugu
,,Descript,N,Descript,descript.com,Tiered,$12-24/mo,Free trial,"Email, Chat",,,No Indian language support
,,Runway,N,Runway,runway.ml,Subscription,$15-35/mo,Limited free,"Email, Docs",,,Text interface in Hindi
,Code & Development,GitHub Copilot,N,GitHub,github.com/copilot,Subscription,$10-19/mo,Student free,Documentation,,,Code comments in Hindi (Basic)
,,Amazon Code Whisperer,N,Amazon,aws.amazon.com,Tiered,Pay per use,Free tier,AWS Support,,,Limited Hindi support for comments
,3D Design,Point-E,Y,OpenAI,github.com/openai/point-e,Free,Self-hosted,N/A,GitHub,,,No Indian language support
,,Get3D,Y,NVIDIA,github.com/nvidia/get3d,Free,Self-hosted,N/A,GitHub,,,No Indian language support
,Language & Translation,DeepL,N,DeepL,deepl.com,Tiered,€5.99-39.99/mo,500K chars/mo,Email,,,Hindi only
,,KUDO,N,KUDO,kudoway.com,Custom,Contact sales,Demo,24/7 support,,,Indian Languages Supported: Hindi| Bengali| Tamil| Telugu
,Speech Recognition,Whisper,Y,OpenAI,github.com/openai/whisper,Free/API,Usage-based,Limited,GitHub,,,Indian Languages Supported: Hindi| Tamil| Telugu| Bengali| Marathi| Gujarati| Kannada| Malayal
,,AssemblyAI,N,AssemblyAI,assemblyai.com,Usage,$0.00099/sec,$10 credit,"Email, Docs",,,Hindi (Beta)
,Document Processing,DocuAI,N,DocuAI,docuai.io,Tiered,Contact sales,Demo,Email,,,Indian Languages Supported: Hindi| Marathi
,,Rossum,N,Rossum,rossum.ai,Custom,Contact sales,Trial,"Email, Chat",,,No Indian language support
,Data Analysis,Obviously AI,N,Obviously AI,obviously.ai,Custom,Contact sales,Demo,"Email, Chat",,,Interface in Hindi
,,MindsDB,Y,MindsDB,mindsdb.com,Usage-based,Custom pricing,Free tier,"Github, Slack",,,Basic support for Indian languages
,,Chat CSV,Y,FlatFiile,chatcsv.co,Free,Free,Free,Documentation,,,No Indian language support
,Data Visualization,Graphite,N,Graphite,graphite.com,Subscription,$29-99/mo,Limited free,Email,,,Limited Hindi support
,,ChartPixel,N,Chart Pixel,chartpixel.com,Freemium,$5-$10/mo,Discounts for NPOs,"Email, Documentation",,,No Indian language support
,Content Analysis,MonkeyLearn,N,MonkeyLearn,monkeylearn.com,Tiered,$299-999/mo,Free trial,Email,,,Hindi| Bengali support
,,Hive,N,Hive,thehive.ai,Usage,Custom,Demo,Email,,,Indian Languages Supported: Hindi| Tamil| Telugu (basic)
,Social Media,Hootsuite,N,Hootsuite,hootsuite.com,Tiered,$99-739/mo,30-day trial,"Chat, Email",,,Hindi| Tamil| Bengali posting support
,,Later,N,Later,later.com,Tiered,$18-40/mo,Free plan,Email,,,Basic Hindi support
,Scheduling,Motion,N,Motion,motion.app,Per user,$19-34/mo,7-day trial,Chat,,,No Indian language support
,,Reclaim.ai,N,Reclaim,reclaim.ai,Tiered,$8-16/user/mo,Free plan,Email,,,No Indian language support
,Workflow Automation,Zapier,N,Zapier,zapier.com,Tiered,$19.99-599/mo,Limited tasks,"Chat, Email",,,Limited Hindi interface
,,Slack,No,"Slack Technologies, LLC",slack.com,"Free, Pro, Business+, Enterprise https://slack.com/intl/en-in/pricing",Starts at 245.25 rupees/user/month (billed annually); others vary,"Free tier available, limited features","24/7 support varies by plan, priority for higher tiers",Communication,,Ideal for team collaboration and communication​
,,Make,N,Make,make.com,Tiered,$9-$29/mo (10K ops),Basic version,"Chat, Email",,,No Indian language support
,Writing Assistant,Grammarly,N,Grammarly,grammarly.com,Freemium,$12-15/mo,Basic free,"Email, KB",,,English only
,,ProWritingAid,N,ProWritingAid,prowritingaid.com,Subscription,$20/mo,Free trial,Email,,,English on
,SEO & Marketing,Clearscope,N,Clearscope,clearscope.io,Tiered,$170+/mo,Demo,Email,,,Limited Hindi SEO
,,MarketMuse,N,MarketMuse,marketmuse.com,Custom,Contact sales,Demo,"Chat, Email",,,No Indian language support
Event Management,,Cvent,N,Cvent,https://www.cvent.com,Custom,Contact sales,Demo,"Phone, Email, Knwoledge base",,,Great product to conduct event planning at one place
,,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 2500 per month,NA,,All SDGs,"SBI Foundation, Make a Difference, U&I","Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."
